
title,genre,year,poster
Inception,Sci-Fi Thriller Hollywood,2010,no image
Interstellar,Sci-Fi Drama Hollywood,2014,no image
The Dark Knight,Action Crime Hollywood,2008,no image
Avengers,Action Superhero Hollywood,2012,no image
Titanic,Romance Drama Hollywood,1997,no image
John Wick,Action Thriller Hollywood,2014,no image
The Matrix,Sci-Fi Action Hollywood,1999,no image
Frozen,Animation Family Hollywood,2013,no image
Toy Story,Animation Comedy Hollywood,1995,no image
Spider-Man,Action Superhero Hollywood,2002,no image
Iron Man,Action Superhero Hollywood,2008,no image
Doctor Strange,Sci-Fi Superhero Hollywood,2016,no image
Black Panther,Action Superhero Hollywood,2018,no image
Thor,Fantasy Action Hollywood,2011,no image
Hulk,Action Superhero Hollywood,2003,no image
Avatar,Sci-Fi Adventure Hollywood,2009,no image
Joker,Crime Drama Hollywood,2019,no image
Batman Begins,Action Crime Hollywood,2005,no image
Shutter Island,Thriller Mystery Hollywood,2010,no image
Fight Club,Drama Thriller Hollywood,1999,no image
The Conjuring,Horror Thriller Hollywood,2013,no image
Annabelle,Horror Mystery Hollywood,2014,no image
Deadpool,Action Comedy Hollywood,2016,no image
Captain America,Action Superhero Hollywood,2011,no image
Ant-Man,Sci-Fi Superhero Hollywood,2015,no image
Oppenheimer,Biography Drama Hollywood,2023,no image
Barbie,Comedy Fantasy Hollywood,2023,no image
Dune,Sci-Fi Adventure Hollywood,2021,no image
Tenet,Sci-Fi Thriller Hollywood,2020,no image
Mission Impossible Fallout,Action Thriller Hollywood,2018,no image
Top Gun Maverick,Action Drama Hollywood,2022,no image
Mad Max Fury Road,Action Adventure Hollywood,2015,no image
The Batman,Action Crime Hollywood,2022,no image
Doctor Sleep,Horror Thriller Hollywood,2019,no image
It,Horror Mystery Hollywood,2017,no image
The Nun,Horror Thriller Hollywood,2018,no image
Conjuring 2,Horror Thriller Hollywood,2016,no image
Black Adam,Action Superhero Hollywood,2022,no image
Aquaman,Fantasy Adventure Hollywood,2018,no image
Wonder Woman,Action Fantasy Hollywood,2017,no image
Justice League,Action Superhero Hollywood,2017,no image
Suicide Squad,Action Crime Hollywood,2016,no image
Fast Five,Action Thriller Hollywood,2011,no image
Fast X,Action Thriller Hollywood,2023,no image
Furious 7,Action Thriller Hollywood,2015,no image
Cars,Animation Family Hollywood,2006,no image
Finding Nemo,Animation Family Hollywood,2003,no image
Kung Fu Panda,Animation Comedy Hollywood,2008,no image
Coco,Animation Family Hollywood,2017,no image
Inside Out,Animation Family Hollywood,2015,no image
Moana,Animation Adventure Hollywood,2016,no image
The Lion King,Animation Drama Hollywood,2019,no image
Aladdin,Fantasy Adventure Hollywood,2019,no image
No Way Home,Action Superhero Hollywood,2021,no image
Civil War,Action Superhero Hollywood,2016,no image
Infinity War,Action Superhero Hollywood,2018,no image
Endgame,Action Superhero Hollywood,2019,no image
Guardians of the Galaxy,Sci-Fi Comedy Hollywood,2014,no image
The Prestige,Thriller Mystery Hollywood,2006,no image
Gladiator,Action Drama Hollywood,2000,no image
RRR,Action Historical Tollywood,2022,no image
Bahubali,Action Drama Tollywood,2015,images/bahubali.jpg
Bahubali 2,Action Drama Tollywood,2017,no image
Pushpa,Action Drama Tollywood,2021,no image
Pushpa 2,Action Thriller Tollywood,2024,no image
Magadheera,Fantasy Action Tollywood,2009,no image
Eega,Fantasy Drama Tollywood,2012,no image
Ala Vaikunthapurramuloo,Comedy Family Tollywood,2020,no image
Arjun Reddy,Romance Drama Tollywood,2017,no image
Pokiri,Action Crime Tollywood,2006,no image
Chatrapathi,Action Drama Tollywood,2005,no image
Salaar,Action Thriller Tollywood,2023,no image
Srimanthudu,Drama Action Tollywood,2015,no image
Athadu,Action Comedy Tollywood,2005,no image
Businessman,Action Crime Tollywood,2012,no image
Race Gurram,Comedy Action Tollywood,2014,no image
Julayi,Comedy Action Tollywood,2012,no image
DJ,Action Comedy Tollywood,2017,no image
Temper,Action Drama Tollywood,2015,no image
Kick,Comedy Action Tollywood,2009,no image
Gabbar Singh,Action Comedy Tollywood,2012,no image
Bheemla Nayak,Action Drama Tollywood,2022,no image
Sye,Sports Drama Tollywood,2004,no image
Arya,Romance Comedy Tollywood,2004,no image
Arya 2,Romance Drama Tollywood,2009,no image
Orange,Romance Drama Tollywood,2010,no image
Jalsa,Comedy Action Tollywood,2008,no image
Attarintiki Daredi,Comedy Drama Tollywood,2013,no image
Khaleja,Fantasy Comedy Tollywood,2010,no image
Leader,Political Drama Tollywood,2010,no image
Oopiri,Comedy Drama Tollywood,2016,no image
Maharshi,Drama Action Tollywood,2019,no image
Sarileru Neekevvaru,Action Comedy Tollywood,2020,no image
Akhanda,Action Drama Tollywood,2021,no image
Veera Simha Reddy,Action Drama Tollywood,2023,no image
Waltair Veerayya,Action Comedy Tollywood,2023,no image
Dasara,Action Drama Tollywood,2023,no image
Hi Nanna,Romance Drama Tollywood,2023,no image
Baby,Romance Drama Tollywood,2023,no image
Hanuman,Fantasy Superhero Tollywood,2024,no image
Agent Sai Srinivasa Athreya,Comedy Thriller Tollywood,2019,no image
Brochevarevarura,Comedy Crime Tollywood,2019,no image
Mathu Vadalara,Comedy Thriller Tollywood,2019,no image
Goodachari,Spy Thriller Tollywood,2018,no image
Kalki 2898 AD,Sci-Fi Action Tollywood,2024,no image
3 Idiots,Comedy Drama Bollywood,2009,no image
Dangal,Sports Drama Bollywood,2016,no image
PK,Comedy Fantasy Bollywood,2014,no image
Sholay,Action Drama Bollywood,1975,no image
Kabir Singh,Romance Drama Bollywood,2019,no image
War,Action Thriller Bollywood,2019,no image
Pathaan,Action Thriller Bollywood,2023,no image
Krrish,Sci-Fi Superhero Bollywood,2006,no image
Bhool Bhulaiyaa,Horror Comedy Bollywood,2007,no image
Drishyam,Crime Thriller Bollywood,2015,no image
Animal,Action Crime Bollywood,2023,no image
Jawan,Action Thriller Bollywood,2023,no image
Raees,Action Crime Bollywood,2017,no image
Don,Action Thriller Bollywood,2006,no image
Bajrangi Bhaijaan,Drama Comedy Bollywood,2015,no image
Chennai Express,Comedy Action Bollywood,2013,no image
Sultan,Sports Drama Bollywood,2016,no image
Tiger Zinda Hai,Action Thriller Bollywood,2017,no image
Krrish 3,Sci-Fi Action Bollywood,2013,no image
Zindagi Na Milegi Dobara,Comedy Drama Bollywood,2011,no image
Kal Ho Naa Ho,Romance Drama Bollywood,2003,no image
Veer Zaara,Romance Drama Bollywood,2004,no image
Dil Chahta Hai,Comedy Drama Bollywood,2001,no image
Lakshya,War Drama Bollywood,2004,no image
Ghajini,Action Thriller Bollywood,2008,no image
Taare Zameen Par,Drama Family Bollywood,2007,no image
Andhadhun,Crime Thriller Bollywood,2018,no image
Stree,Horror Comedy Bollywood,2018,no image
